"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 13:31:50 BDT 2023","Mon Oct 16 13:32:07 BDT 2023","17132","Discord_Report","Test","testCase.Discord$DiscordStatistics","testCase.Discord$DiscordStatistics","DiscordGuide","DiscordGuide","Discord Guide tooltip check"
"passed","Mon Oct 16 13:31:27 BDT 2023","Mon Oct 16 13:31:37 BDT 2023","10031","Discord_Report","Test","testCase.Discord$DiscordStatistics","testCase.Discord$DiscordStatistics","DiscordStatistic","DiscordStatistic","Loging with correct username and password"
"passed","Mon Oct 16 13:31:37 BDT 2023","Mon Oct 16 13:31:44 BDT 2023","6537","Discord_Report","Test","testCase.Discord$DiscordStatistics","testCase.Discord$DiscordStatistics","DiscordStatSearch","DiscordStatSearch","Search & Click Button"
"passed","Mon Oct 16 13:31:44 BDT 2023","Mon Oct 16 13:31:50 BDT 2023","6476","Discord_Report","Test","testCase.Discord$DiscordStatistics","testCase.Discord$DiscordStatistics","DiscordDiscoverable","DiscordDiscoverable","Discord Discoverable Full Information"
"passed","Mon Oct 16 13:32:07 BDT 2023","Mon Oct 16 13:32:13 BDT 2023","5668","Discord_Report","Test","testCase.Discord$DiscordStatistics","testCase.Discord$DiscordStatistics","DiscordGuideFullInfo","DiscordGuideFullInfo","Discord Guide Full Information"
