"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"EP003: Discord Guide","Discord Guide","","0","0","1","0","0"
"EP001: Login","Login & Click Discord","Loging with correct username and password","0","0","1","0","0"
"EP002: Discord Statistics","Search & Click Button","Search & Click Button","0","0","1","0","0"
"EP004: Discord Discoverable","Discoverable","","0","0","1","0","0"
"EP003: Discord Guide","Discord Guide Full Information","","0","0","1","0","0"
