"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 16 15:49:04 BDT 2023","Mon Oct 16 15:49:07 BDT 2023","3144","Snapchat_Report","Test","testCase.Snapchat$SnapchatStatistics","testCase.Snapchat$SnapchatStatistics","SnapCheckTabs","SnapCheckTabs","Snapchat Check all tab"
"broken","Mon Oct 16 15:49:08 BDT 2023","Mon Oct 16 15:49:11 BDT 2023","3456","Snapchat_Report","Test","testCase.Snapchat$SnapchatStatistics","testCase.Snapchat$SnapchatStatistics","SnapStatWorldRegion","SnapStatWorldRegion","Statistics World Region"
"passed","Mon Oct 16 15:49:11 BDT 2023","Mon Oct 16 15:49:18 BDT 2023","6327","Snapchat_Report","Test","testCase.Snapchat$SnapchatMap","testCase.Snapchat$SnapchatMap","SnapchatStatistic","SnapchatStatistic","Snapchat Map Checking"
"broken","Mon Oct 16 15:49:20 BDT 2023","Mon Oct 16 15:49:29 BDT 2023","9274","Snapchat_Report","Test","testCase.Snapchat$SnapchatUser","testCase.Snapchat$SnapchatUser","SnapchatUserDetails","SnapchatUserDetails","User Details Checking"
"failed","Mon Oct 16 15:49:18 BDT 2023","Mon Oct 16 15:49:20 BDT 2023","2235","Snapchat_Report","Test","testCase.Snapchat$SnapchatUser","testCase.Snapchat$SnapchatUser","SnapchatUsersSrc","SnapchatUsersSrc","Search with null value"
"passed","Mon Oct 16 15:48:50 BDT 2023","Mon Oct 16 15:49:00 BDT 2023","9767","Snapchat_Report","Test","testCase.Snapchat$SnapchatStatistics","testCase.Snapchat$SnapchatStatistics","SnapchatStatistic","SnapchatStatistic","Loging with correct username and password"
"failed","Mon Oct 16 15:49:00 BDT 2023","Mon Oct 16 15:49:04 BDT 2023","3327","Snapchat_Report","Test","testCase.Snapchat$SnapchatStatistics","testCase.Snapchat$SnapchatStatistics","SnapSearch","SnapSearch","Snapchat Statistics: Search with null value"
"passed","Mon Oct 16 15:49:30 BDT 2023","Mon Oct 16 15:49:41 BDT 2023","11458","Snapchat_Report","Test","testCase.Snapchat$SnapchatPublisher","testCase.Snapchat$SnapchatPublisher","SnapchatUsersSrc","SnapchatUsersSrc","Snapchat Publishers Details"
