"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"EP003: Snapchat Statistics","Check all tab","","1","0","0","0","0"
"EP004: Snapchat Statistics","Statistics World Region","","0","1","0","0","0"
"EP005: Snapchat Map","Check Map","","0","0","1","0","0"
"EP007: Snapchat Users","Details","","0","1","0","0","0"
"EP006: Snapchat Users","Search","","1","0","0","0","0"
"EP001: Login","Login & Click Snapchat","Loging with correct username and password","0","0","1","0","0"
"EP002: Snapchat Statistics","Search with null value","","1","0","0","0","0"
"EP008: Snapchat Publishers","Details","","0","0","1","0","0"
